name	set	Sun Feb  9 03:09:41 2020
Delver of Secrets // Insectile Aberration	ISD	{'usd': '0.78', 'usd_foil': '5.22', 'eur': '1.05', 'tix': '0.03'}
Delver of Secrets // Insectile Aberration	V17	{'usd': None, 'usd_foil': '4.18', 'eur': '5.99', 'tix': '1.46'}
Snapcaster Mage	UMA	{'usd': '44.17', 'usd_foil': '83.77', 'eur': '43.43', 'tix': '13.39'}
Snapcaster Mage	MM3	{'usd': '43.19', 'usd_foil': '97.25', 'eur': '41.47', 'tix': '7.92'}
Snapcaster Mage	ISD	{'usd': '41.88', 'usd_foil': '152.71', 'eur': '37.42', 'tix': '4.27'}
Snapcaster Mage	PUMA	{'usd': None, 'usd_foil': '151.50', 'eur': '147.39', 'tix': '57.60'}
Snapcaster Mage	PRM	{'usd': None, 'usd_foil': None, 'eur': None, 'tix': '16.87'}
Snapcaster Mage	PPRO	{'usd': None, 'usd_foil': '140.01', 'eur': None, 'tix': None}
Vendilion Clique	A25	{'usd': '14.12', 'usd_foil': '29.61', 'eur': '13.01', 'tix': '3.04'}
Vendilion Clique	MM2	{'usd': '19.98', 'usd_foil': '26.34', 'eur': '12.64', 'tix': '2.72'}
Vendilion Clique	MMA	{'usd': '20.00', 'usd_foil': '41.49', 'eur': '13.62', 'tix': '2.70'}
Vendilion Clique	MOR	{'usd': '22.02', 'usd_foil': '93.35', 'eur': '11.76', 'tix': '2.74'}
Vendilion Clique	PRM	{'usd': None, 'usd_foil': None, 'eur': None, 'tix': '4.23'}
Vendilion Clique	G11	{'usd': None, 'usd_foil': '82.05', 'eur': '60.37', 'tix': None}
Grim Lavamancer	E01	{'usd': '4.59', 'usd_foil': None, 'eur': '3.34', 'tix': None}
Grim Lavamancer	M12	{'usd': '2.56', 'usd_foil': '11.12', 'eur': '2.69', 'tix': '0.09'}
Grim Lavamancer	TOR	{'usd': '8.79', 'usd_foil': '97.01', 'eur': '4.54', 'tix': '0.63'}
Grim Lavamancer	PD2	{'usd': None, 'usd_foil': '3.46', 'eur': '3.09', 'tix': None}
Grim Lavamancer	PRM	{'usd': None, 'usd_foil': None, 'eur': None, 'tix': '11.92'}
Grim Lavamancer	G06	{'usd': None, 'usd_foil': '18.06', 'eur': '17.75', 'tix': None}
Nimble Obstructionist	HOU	{'usd': '0.96', 'usd_foil': '3.49', 'eur': '1.11', 'tix': '0.61'}
Nimble Obstructionist	PHOU	{'usd': None, 'usd_foil': '3.84', 'eur': None, 'tix': None}
Serum Visions	MM3	{'usd': '1.66', 'usd_foil': '5.06', 'eur': '1.95', 'tix': '0.34'}
Serum Visions	CN2	{'usd': '1.94', 'usd_foil': '8.10', 'eur': '1.63', 'tix': None}
Serum Visions	5DN	{'usd': '2.02', 'usd_foil': '15.75', 'eur': '1.40', 'tix': '0.36'}
Serum Visions	SLD	{'usd': None, 'usd_foil': None, 'eur': '12.16', 'tix': None}
Serum Visions	SLD	{'usd': None, 'usd_foil': None, 'eur': '13.66', 'tix': None}
Serum Visions	SLD	{'usd': None, 'usd_foil': None, 'eur': '14.02', 'tix': None}
Serum Visions	SLD	{'usd': None, 'usd_foil': None, 'eur': '13.62', 'tix': None}
Serum Visions	PRM	{'usd': None, 'usd_foil': None, 'eur': None, 'tix': '0.35'}
Serum Visions	F15	{'usd': None, 'usd_foil': '3.13', 'eur': None, 'tix': None}
Serum Visions	PRM	{'usd': None, 'usd_foil': None, 'eur': None, 'tix': '0.35'}
Serum Visions	PAL04	{'usd': None, 'usd_foil': '12.86', 'eur': None, 'tix': None}
Burst Lightning	MM2	{'usd': '0.15', 'usd_foil': '0.31', 'eur': '0.18', 'tix': '0.03'}
Burst Lightning	ZEN	{'usd': '0.21', 'usd_foil': '1.34', 'eur': '0.15', 'tix': '0.04'}
Burst Lightning	MB1	{'usd': None, 'usd_foil': None, 'eur': None, 'tix': None}
Burst Lightning	PRM	{'usd': None, 'usd_foil': None, 'eur': None, 'tix': '0.04'}
Burst Lightning	P10	{'usd': '2.80', 'usd_foil': None, 'eur': None, 'tix': None}
Lightning Bolt	A25	{'usd': '1.37', 'usd_foil': '5.03', 'eur': '2.62', 'tix': '0.53'}
Lightning Bolt	E01	{'usd': '2.31', 'usd_foil': None, 'eur': '2.51', 'tix': None}
Lightning Bolt	MM2	{'usd': '1.69', 'usd_foil': '3.16', 'eur': '2.32', 'tix': '0.27'}
